40.00,26.60 
40.00,26.50 
40.00,26.60 
39.00,26.30 
39.00,26.40 
39.00,26.20 
41.00,26.20 
40.00,26.40 
40.00,26.30 
39.00,26.30 
39.00,26.40 
39.00,26.30 
39.00,26.30 
39.00,26.40 
40.00,26.30 
39.00,25.70 
39.00,25.90 
39.00,25.80 
39.00,25.80 
39.00,25.90 
39.00,26.00 
39.00,25.80 
39.00,25.90 
39.00,25.80 
39.00,25.50 
39.00,25.30 
39.00,25.40 
39.00,25.00 
39.00,24.80 
39.00,24.40 
39.00,24.30 
40.00,25.50 
40.00,25.60 
40.00,25.70 
40.00,25.90 
41.00,25.40 
40.00,25.50 
41.00,25.30 
41.00,25.20 
41.00,25.10 
42.00,25.20 
40.00,25.10 
40.00,25.10 
40.00,25.10 
42.00,25.20 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.10 
42.00,25.20 
41.00,25.10 
42.00,25.20 
42.00,25.20 
42.00,25.20 
41.00,25.10 
42.00,25.20 
40.00,25.10 
40.00,25.10 
40.00,25.10 
42.00,25.20 
40.00,25.10 
40.00,25.10 
40.00,25.10 
42.00,25.20 
41.00,25.10 
42.00,25.20 
42.00,25.20 
42.00,25.20 
42.00,25.10 
42.00,25.20 
41.00,25.10 
42.00,25.20 
42.00,25.10 
40.00,25.20 
40.00,25.20 
40.00,25.20 
40.00,25.20 
40.00,25.20 
41.00,25.40 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.40 
41.00,25.30 
41.00,25.40 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.40 
41.00,25.30 
41.00,25.40 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
41.00,25.30 
42.00,25.10 
42.00,25.20 
40.00,25.10 
40.00,25.00 
40.00,25.00 
40.00,25.00 
42.00,25.10 
42.00,25.00 
42.00,25.10 
42.00,25.00 
42.00,25.00 
42.00,25.00 
42.00,25.10 
41.00,25.00 
41.00,25.00 
41.00,25.00 
42.00,25.10 
41.00,25.00 
42.00,25.10 
41.00,25.00 
42.00,25.10 
42.00,25.20 
42.00,25.10 
42.00,25.10 
42.00,24.70 
42.00,24.70 
42.00,24.70 
43.00,24.90 
42.00,24.80 
43.00,24.90 
42.00,24.80 
43.00,24.90 
42.00,24.80 
42.00,24.90 
42.00,24.80 
43.00,24.90 
43.00,25.00 
42.00,24.90 
43.00,25.00 
43.00,25.10 
43.00,25.00 
43.00,25.10 
41.00,25.00 
41.00,25.10 
41.00,25.10 
43.00,25.00 
43.00,25.00 
43.00,25.00 
43.00,25.00 
64.00,25.10 
75.00,25.20 
95.00,25.60 
95.00,25.80 
95.00,26.80 
95.00,28.00 
73.00,28.80 
55.00,29.00 
